,workerid,proliferate.condition,accuracy,internal_node_id,question_order,response,rt,stimulus,time_elapsed,trial_index,trial_type,error,local,casual,educated,friendly,dependable,traditional,condition,clip,likert_young,likert_proper,likert_culture,likert_identity
5,87,All,,0.0-4.0-1.0,"[0, 1, 2, 3, 4, 5]","{'local': 3, 'casual': 2, 'educated': 3, 'friendly': 3, 'dependable': 2, 'traditional': 3}",54986.0,audio/NL/NL_07_N.mp3,497316,5,survey-likert,,3.0,2.0,3.0,3.0,2.0,3.0,proper,NL_07,3.0,4.0,4.0,4.0
7,87,All,,0.0-4.0-3.0,"[0, 1, 2, 3, 4, 5]","{'local': 1, 'casual': 2, 'educated': 3, 'friendly': 2, 'dependable': 3, 'traditional': 2}",32032.0,audio/NGN/NGN_10_N.mp3,530897,7,survey-likert,,1.0,2.0,3.0,2.0,3.0,2.0,lazy,NGN_10,3.0,4.0,4.0,4.0
11,87,All,,0.0-4.0-7.0,"[0, 1, 2, 3, 4, 5]","{'local': 1, 'casual': 1, 'educated': 3, 'friendly': 3, 'dependable': 3, 'traditional': 4}",30019.0,audio/NGN/NGN_02_NG.mp3,573554,11,survey-likert,,1.0,1.0,3.0,3.0,3.0,4.0,proper,NGN_02,3.0,4.0,4.0,4.0
13,87,All,,0.0-4.0-9.0,"[0, 1, 2, 3, 4, 5]","{'local': 1, 'casual': 2, 'educated': 2, 'friendly': 1, 'dependable': 2, 'traditional': 1}",18965.0,audio/NL/NL_04_L.mp3,593701,13,survey-likert,,1.0,2.0,2.0,1.0,2.0,1.0,lazy,NL_04,3.0,4.0,4.0,4.0
15,87,All,,0.0-4.0-11.0,"[0, 1, 2, 3, 4, 5]","{'local': 2, 'casual': 3, 'educated': 3, 'friendly': 2, 'dependable': 3, 'traditional': 4}",13130.0,audio/NL/NL_08_N.mp3,608615,15,survey-likert,,2.0,3.0,3.0,2.0,3.0,4.0,proper,NL_08,3.0,4.0,4.0,4.0
19,87,All,,0.0-4.0-15.0,"[0, 1, 2, 3, 4, 5]","{'local': 3, 'casual': 2, 'educated': 3, 'friendly': 2, 'dependable': 2, 'traditional': 4}",20505.0,audio/NL/NL_10_N.mp3,645390,19,survey-likert,,3.0,2.0,3.0,2.0,2.0,4.0,proper,NL_10,3.0,4.0,4.0,4.0
21,87,All,,0.0-4.0-17.0,"[0, 1, 2, 3, 4, 5]","{'local': 3, 'casual': 1, 'educated': 4, 'friendly': 2, 'dependable': 3, 'traditional': 1}",26181.0,audio/NGN/NGN_09_NG.mp3,673147,21,survey-likert,,3.0,1.0,4.0,2.0,3.0,1.0,proper,NGN_09,3.0,4.0,4.0,4.0
25,87,All,,0.0-4.0-21.0,"[0, 1, 2, 3, 4, 5]","{'local': 1, 'casual': 2, 'educated': 2, 'friendly': 3, 'dependable': 2, 'traditional': 2}",30779.0,audio/NGG/NGG_06_NG.mp3,716394,25,survey-likert,,1.0,2.0,2.0,3.0,2.0,2.0,proper,NGG_06,3.0,4.0,4.0,4.0
27,87,All,,0.0-4.0-23.0,"[0, 1, 2, 3, 4, 5]","{'local': 1, 'casual': 4, 'educated': 2, 'friendly': 3, 'dependable': 2, 'traditional': 4}",15790.0,audio/NL/NL_03_N.mp3,733165,27,survey-likert,,1.0,4.0,2.0,3.0,2.0,4.0,proper,NL_03,3.0,4.0,4.0,4.0
29,87,All,,0.0-4.0-25.0,"[0, 1, 2, 3, 4, 5]","{'local': 2, 'casual': 0, 'educated': 3, 'friendly': 2, 'dependable': 3, 'traditional': 3}",15293.0,audio/NGG/NGG_09_NG.mp3,751249,29,survey-likert,,2.0,0.0,3.0,2.0,3.0,3.0,proper,NGG_09,3.0,4.0,4.0,4.0
31,87,All,,0.0-4.0-27.0,"[0, 1, 2, 3, 4, 5]","{'local': 1, 'casual': 3, 'educated': 1, 'friendly': 2, 'dependable': 2, 'traditional': 4}",16517.0,audio/NGG/NGG_03_NG.mp3,769372,31,survey-likert,,1.0,3.0,1.0,2.0,2.0,4.0,proper,NGG_03,3.0,4.0,4.0,4.0
33,87,All,,0.0-4.0-29.0,"[0, 1, 2, 3, 4, 5]","{'local': 2, 'casual': 0, 'educated': 4, 'friendly': 2, 'dependable': 2, 'traditional': 0}",20200.0,audio/NGN/NGN_01_N.mp3,791495,33,survey-likert,,2.0,0.0,4.0,2.0,2.0,0.0,lazy,NGN_01,3.0,4.0,4.0,4.0
35,87,All,,0.0-4.0-31.0,"[0, 1, 2, 3, 4, 5]","{'local': 0, 'casual': 4, 'educated': 1, 'friendly': 1, 'dependable': 1, 'traditional': 1}",23989.0,audio/NGN/NGN_08_N.mp3,817364,35,survey-likert,,0.0,4.0,1.0,1.0,1.0,1.0,lazy,NGN_08,3.0,4.0,4.0,4.0
37,87,All,,0.0-4.0-33.0,"[0, 1, 2, 3, 4, 5]","{'local': 1, 'casual': 1, 'educated': 3, 'friendly': 2, 'dependable': 3, 'traditional': 1}",16820.0,audio/NL/NL_09_L.mp3,835495,37,survey-likert,,1.0,1.0,3.0,2.0,3.0,1.0,lazy,NL_09,3.0,4.0,4.0,4.0
39,87,All,,0.0-4.0-35.0,"[0, 1, 2, 3, 4, 5]","{'local': 3, 'casual': 4, 'educated': 2, 'friendly': 3, 'dependable': 3, 'traditional': 4}",23015.0,audio/NGN/NGN_03_N.mp3,859940,39,survey-likert,,3.0,4.0,2.0,3.0,3.0,4.0,lazy,NGN_03,3.0,4.0,4.0,4.0
41,87,All,,0.0-4.0-37.0,"[0, 1, 2, 3, 4, 5]","{'local': 2, 'casual': 0, 'educated': 3, 'friendly': 2, 'dependable': 3, 'traditional': 0}",15720.0,audio/NL/NL_06_N.mp3,876655,41,survey-likert,,2.0,0.0,3.0,2.0,3.0,0.0,proper,NL_06,3.0,4.0,4.0,4.0
43,87,All,,0.0-4.0-39.0,"[0, 1, 2, 3, 4, 5]","{'local': 1, 'casual': 4, 'educated': 1, 'friendly': 2, 'dependable': 2, 'traditional': 5}",30816.0,audio/NGG/NGG_10_NG.mp3,909892,43,survey-likert,,1.0,4.0,1.0,2.0,2.0,5.0,proper,NGG_10,3.0,4.0,4.0,4.0
45,87,All,,0.0-4.0-41.0,"[0, 1, 2, 3, 4, 5]","{'local': 3, 'casual': 5, 'educated': 3, 'friendly': 4, 'dependable': 3, 'traditional': 5}",18987.0,audio/NL/NL_01_N.mp3,930760,45,survey-likert,,3.0,5.0,3.0,4.0,3.0,5.0,proper,NL_01,3.0,4.0,4.0,4.0
47,87,All,,0.0-4.0-43.0,"[0, 1, 2, 3, 4, 5]","{'local': 1, 'casual': 4, 'educated': 2, 'friendly': 2, 'dependable': 2, 'traditional': 4}",14377.0,audio/NGG/NGG_01_G.mp3,946563,47,survey-likert,,1.0,4.0,2.0,2.0,2.0,4.0,lazy,NGG_01,3.0,4.0,4.0,4.0
